id,speaker,text,option1,action1,option2,action2,option3,action3
ward_intro_001,兔子护士,院长，雾雾已经安顿好了。不过她看起来……还是有些没精神。,继续,ward_intro_002,,,,
ward_intro_002,雾雾,这里很安静。很适合我……不会打扰到别人。,你不喜欢这里吗？,ward_intro_004a,这里就是你的房间。,ward_intro_004b,不舒服就换一间。,ward_intro_004c
ward_intro_004a,雾雾,不是的。能留下来，我已经很感谢了。,继续,ward_intro_005,,,,
ward_intro_004b,雾雾,现在就可以……这样决定吗？,继续,ward_intro_005,,,,
ward_intro_004c,雾雾,不用为我这么麻烦。我住哪里都一样。,继续,ward_intro_005,,,,
ward_intro_005,雾雾,只是房间再好，也不一定真的属于我。,继续,ward_intro_006,,,,
ward_intro_006,雾雾,等大家忘记我以后，它又会变回一间空房。,继续,ward_intro_008,,,,
ward_intro_008,雾雾,刚才……墙那边好像有声音。可能只是东西掉了。没关系，不用管我的。,我们一起去看看。,ward_intro_011a,你带我去看看？,ward_intro_011b,我去看，你在这等。,ward_intro_011c
ward_intro_011a,雾雾,一起……吗？那面右墙后面就是门牌的位置。,点击右边看看,wait_right_wall,,,,
ward_intro_011b,雾雾,我来带路？……我可以试试。门牌就在右墙后面。,点击右边看看,wait_right_wall,,,,
ward_intro_011c,雾雾,好……我不会添麻烦的。门牌就在右墙后面。,点击右边看看,wait_right_wall,,,,
ward_right_001,兔子护士,原来是门牌掉了，字块散得到处都是。,继续,ward_right_002,,,,
ward_right_002,雾雾,原来是门牌……上面本来应该写住在这里的人的名字。,继续,ward_right_004,,,,
ward_right_004,雾雾,不过空着也没关系。反正我的名字……没有那么重要。,一起拼回名字。,ward_right_006a,门牌该写什么？,ward_right_006b,空着会有人走错。,ward_right_006c
ward_right_006a,雾雾,要写……我的名字吗？可是，如果拼错了……,继续,ward_right_007,,,,
ward_right_006b,雾雾,我可以自己决定吗？那……我想写雾雾。可是，如果拼错了……,继续,ward_right_007,,,,
ward_right_006c,雾雾,原来是为了这个……那就麻烦你了。可是，如果拼错了……,继续,ward_right_007,,,,
ward_right_007,玩家,拼错了就再试一次。我会记得。,继续,ward_right_008,,,,
ward_right_008,雾雾,那……请你帮帮我。,点击名字牌,wait_puzzle,,,,
ward_complete_001,兔子护士,拼好了！院长快看，上面写着“雾雾的房间”。,继续,ward_complete_002,,,,
ward_complete_002,雾雾,这是……我的房间？不是暂时让我待着的地方？,继续,ward_complete_003,,,,
ward_complete_003,雾雾,就算我什么都做不好，名字也可以留在这里吗？,因为这里属于你。,ward_complete_004a,你亲自挂上吧。,ward_complete_004b,我们已经拼好了。,ward_complete_004c
ward_complete_004a,雾雾,原来只要是我，就可以留下名字。,继续,ward_complete_005,,,,
ward_complete_004b,雾雾,我来吗？……好，我想试试。,继续,ward_complete_005,,,,
ward_complete_004c,雾雾,嗯……至少现在，它还在这里。,继续,ward_complete_005,,,,
ward_complete_005,雾雾,雾雾的房间……我想再看一会儿。这样下次害怕的时候，我就知道自己没有走错。,结束,ward_complete_end,,,,
ward_complete_end,系统,名字牌已修复。雾雾存在感 +10，信任值 +5。,结束,close_dialogue,,,,
